,dept,dist,station,value,date
528046,Revenue,Cuddalore,Indian Metrology Department,2.0,2021-02-01
528047,Revenue,Cuddalore,Indian Metrology Department,2.0,2021-02-01
528048,Revenue,Madurai,Pulipatti,1.0,2021-02-01
528049,Revenue,Madurai,Pulipatti,1.0,2021-02-01
528050,Revenue,Villupuram,TINDIVANAM,42.0,2021-03-01
528051,Revenue,Villupuram,TINDIVANAM,42.0,2021-03-01
528052,Revenue,Chengalpattu,Keelampakkam,29.8,2021-03-01
528053,Revenue,Chengalpattu,Keelampakkam,29.8,2021-03-01
528054,Revenue,Thiruvarur,"Taluk Office , Tiruvarur",28.2,2021-03-01
528055,Revenue,Thiruvarur,"Taluk Office , Tiruvarur",28.2,2021-03-01
528056,Revenue,Nagapattinam,Nagapattinam,23.0,2021-03-01
528057,Revenue,Nagapattinam,Nagapattinam,23.0,2021-03-01
528058,Revenue,Chengalpattu,Mammallapuram PWD bungalow,19.8,2021-03-01
528059,Revenue,Chengalpattu,Mammallapuram PWD bungalow,19.8,2021-03-01
528060,Revenue,Chengalpattu,Cheyyur,19.0,2021-03-01
528061,Revenue,Chengalpattu,Cheyyur,19.0,2021-03-01
528062,Revenue,Nagapattinam,Thirupoondi,18.4,2021-03-01
528063,Revenue,Nagapattinam,Thirupoondi,18.4,2021-03-01
528064,Revenue,Ramanathapuram,Thangachimadam,18.2,2021-03-01
528065,Revenue,Ramanathapuram,Thangachimadam,18.2,2021-03-01
528066,Revenue,Villupuram,Marakkanam,16.5,2021-03-01
528067,Revenue,Villupuram,Marakkanam,16.5,2021-03-01
528068,Revenue,Ramanathapuram,Rameswaram,16.2,2021-03-01
528069,Revenue,Ramanathapuram,Rameswaram,16.2,2021-03-01
528070,Revenue,Thiruvarur,Mannargudi,16.0,2021-03-01
528071,Revenue,Thiruvarur,Mannargudi,16.0,2021-03-01
528072,Revenue,Chengalpattu,"Taluk Office, Thirukalukundram",15.4,2021-03-01
528073,Revenue,Chengalpattu,"Taluk Office, Thirukalukundram",15.4,2021-03-01
528074,Revenue,Kancheepuram,UTHIRAMERUR,15.0,2021-03-01
528075,Revenue,Kancheepuram,UTHIRAMERUR,15.0,2021-03-01
528076,Revenue,Thiruvarur,Pandavaiyaru,14.4,2021-03-01
528077,Revenue,Thiruvarur,Pandavaiyaru,14.4,2021-03-01
528078,Revenue,Chengalpattu,Chengalpattu,13.8,2021-03-01
528079,Revenue,Chengalpattu,Chengalpattu,13.8,2021-03-01
528080,Revenue,Thiruvarur,"Sub Registrar Office, Muthupettai",13.2,2021-03-01
528081,Revenue,Thiruvarur,"Sub Registrar Office, Muthupettai",13.2,2021-03-01
528082,Revenue,Mayiladuthurai,Mayiladuthurai,13.2,2021-03-01
528083,Revenue,Mayiladuthurai,Mayiladuthurai,13.2,2021-03-01
528084,Revenue,Ramanathapuram,pamban,12.5,2021-03-01
528085,Revenue,Ramanathapuram,pamban,12.5,2021-03-01
528086,Revenue,Thanjavur,Manjalaru,12.0,2021-03-01
528087,Revenue,Thanjavur,Pattukkottai,12.0,2021-03-01
528088,Revenue,Thanjavur,Manjalaru,12.0,2021-03-01
528089,Revenue,Thanjavur,Pattukkottai,12.0,2021-03-01
528090,Revenue,Chengalpattu,Madurantakam taluk office,11.0,2021-03-01
528091,Revenue,Chennai,Sholinganallur,11.0,2021-03-01
528092,Revenue,Chengalpattu,Madurantakam taluk office,11.0,2021-03-01
528093,Revenue,Chennai,Sholinganallur,11.0,2021-03-01
528094,Revenue,Tiruvannamalai,Vembakkam,10.4,2021-03-01
528095,Revenue,Tiruvannamalai,Vembakkam,10.4,2021-03-01
