Data Acquisition Time,District LGD Code,District,Hourly Rainfall
2021-08-09 14:00:00,568,Chennai,1.5
2021-08-09 15:00:00,568,Chennai,3.0
2021-08-09 17:45:00,568,Chennai,1.5
2021-08-09 17:50:00,568,Chennai,1.5
2021-08-09 17:55:00,568,Chennai,1.5
2021-08-09 18:00:00,568,Chennai,4.25
2021-08-10 02:00:00,568,Chennai,5.5
2021-08-10 03:00:00,568,Chennai,12.0
2021-08-10 04:00:00,568,Chennai,0.75
2021-08-10 06:00:00,568,Chennai,0.5
2021-08-10 07:00:00,568,Chennai,2.5
2021-08-10 08:00:00,568,Chennai,0.5
2021-08-10 09:00:00,568,Chennai,0.5
2021-08-11 15:00:00,568,Chennai,1.0
2021-08-11 16:00:00,568,Chennai,1.5
2021-08-13 18:00:00,568,Chennai,2.0
2021-08-16 07:00:00,568,Chennai,0.5
2021-08-16 09:00:00,568,Chennai,0.5
2021-08-17 03:00:00,568,Chennai,16.0
2021-08-17 04:00:00,568,Chennai,14.5
2021-08-17 05:00:00,568,Chennai,3.0
2021-08-17 06:00:00,568,Chennai,1.25
2021-08-20 03:00:00,568,Chennai,2.0
2021-08-27 16:00:00,568,Chennai,8.5
2021-08-27 17:00:00,568,Chennai,6.5
2021-08-27 18:00:00,568,Chennai,0.5
2021-08-28 01:00:00,568,Chennai,1.5
2021-08-28 02:00:00,568,Chennai,5.0
2021-08-28 03:00:00,568,Chennai,1.25
2021-08-28 04:00:00,568,Chennai,0.5
2021-08-28 14:00:00,568,Chennai,0.5
2021-08-28 22:00:00,568,Chennai,10.25
2021-08-28 23:00:00,568,Chennai,6.0
2021-08-29 00:00:00,568,Chennai,2.75
2021-08-29 01:00:00,568,Chennai,2.5
2021-08-29 02:00:00,568,Chennai,1.5
2021-08-29 03:00:00,568,Chennai,1.25
2021-08-29 04:00:00,568,Chennai,0.5
2021-08-29 06:00:00,568,Chennai,0.5
2021-08-29 08:00:00,568,Chennai,0.5
2021-08-29 15:00:00,568,Chennai,1.0
2021-08-29 16:00:00,568,Chennai,1.5
2021-08-29 17:00:00,568,Chennai,0.5
2021-08-29 22:00:00,568,Chennai,2.0
2021-08-29 23:00:00,568,Chennai,0.5
2021-08-30 00:00:00,568,Chennai,0.5
2021-08-30 01:00:00,568,Chennai,0.5
2021-08-30 02:00:00,568,Chennai,0.75
2021-08-30 12:00:00,568,Chennai,0.5
2021-08-31 00:00:00,568,Chennai,0.5
2021-08-31 02:00:00,568,Chennai,0.5
2021-08-31 03:00:00,568,Chennai,0.5
2021-08-31 11:00:00,568,Chennai,0.5
2021-09-03 15:00:00,568,Chennai,0.5
2021-09-03 16:00:00,568,Chennai,0.5
2021-09-03 17:00:00,568,Chennai,1.0
2021-09-04 03:00:00,568,Chennai,1.5
2021-09-04 07:00:00,568,Chennai,0.5
2021-09-04 13:00:00,568,Chennai,0.5
2021-09-04 18:00:00,568,Chennai,1.5
2021-09-04 19:00:00,568,Chennai,0.5
2021-09-05 17:00:00,568,Chennai,20.75
2021-09-05 18:00:00,568,Chennai,0.5
2021-09-05 19:00:00,568,Chennai,0.5
2021-09-06 20:00:00,568,Chennai,16.25
2021-09-06 21:00:00,568,Chennai,0.5
2021-09-08 11:00:00,568,Chennai,1.0
2021-09-09 13:00:00,568,Chennai,5.0
2021-09-10 02:00:00,568,Chennai,0.5
2021-09-16 17:25:00,580,Namakkal,19.5
2021-09-16 17:30:00,580,Namakkal,19.5
2021-09-17 14:00:00,580,Namakkal,0.5
2021-09-17 16:00:00,568,Chennai,4.0
2021-09-18 00:00:00,568,Chennai,7.0
2021-09-18 01:00:00,568,Chennai,1.0
2021-09-19 20:00:00,580,Namakkal,0.5
2021-09-20 06:00:00,580,Namakkal,0.5
2021-09-21 15:00:00,568,Chennai,10.5
2021-09-21 16:00:00,568,Chennai,2.5
2021-09-21 17:00:00,568,Chennai,5.5
2021-09-21 23:00:00,568,Chennai,14.0
2021-09-22 03:00:00,568,Chennai,37.0
2021-09-22 04:00:00,568,Chennai,8.0
2021-09-22 05:00:00,568,Chennai,5.5
2021-09-22 06:00:00,568,Chennai,2.0
2021-09-22 07:00:00,568,Chennai,2.5
2021-09-23 23:00:00,580,Namakkal,4.0
2021-09-24 00:00:00,580,Namakkal,1.5
